,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
87,Lance Cairns ,New Zealand,,,,,30.0,40.0,95.0,,178.0,195.0,308.0,378.0,413.0,748.0,840.0,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Chris Cairns ,New Zealand,,,,,,,,,,,,,,,,,,,,,,11.0,83.0,149.0,360.0,797.0,1304.0,1718.0,2109.0,2688.0,3211.0,3216.0,3614.0,4199.0,4628.0,4910.0,4950.0,,,,,,,,,,,,,
89,Ian Callen ,Australia,,,,,,,,,6.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Alistair Campbell ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,13.0,236.0,420.0,562.0,840.0,1489.0,2294.0,2997.0,3957.0,4794.0,5178.0,5185.0,,,,,,,,,,,,,,,,
91,Gegory Campbell ,Australia,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,David Capel ,England,,,,,,,,,,,,,,,,,,110.0,221.0,291.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Philip Carlson ,Australia,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bhagwat Chandrasekhar ,India,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Greg Chappell ,Australia,,22.0,123.0,,240.0,472.0,,646.0,,919.0,1265.0,1719.0,2057.0,2331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Ian Chappell ,Australia,,60.0,147.0,,316.0,542.0,,,,665.0,673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Trevor Chappell ,Australia,,,,,,,,,,,32.0,90.0,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Ewen Chatfield ,New Zealand,,,,,,,,,,3.0,13.0,15.0,17.0,66.0,72.0,83.0,101.0,112.0,118.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chetandra Chauhan ,India,,,,,,,,,25.0,,114.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Rajesh Chauhan ,India,,,,,,,,,,,,,,,,,,,,,,,,7.0,73.0,,,132.0,,,,,,,,,,,,,,,,,,,,,,
101,Wayne Clark ,Australia,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sylvester Clarke ,West Indies,,,,,,,,,0.0,,20.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Brian Close ,England,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,David Colley ,Australia,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Richard Collinge ,New Zealand,,,,13.0,13.0,21.0,26.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jeremy Coney ,New Zealand,,,,,,,,,,47.0,220.0,339.0,441.0,950.0,1142.0,1384.0,1794.0,1874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bevan Congdon ,New Zealand,,,,5.0,136.0,237.0,284.0,,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Alan Connolly ,Australia,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Geoffrey Cook ,England,,,,,,,,,,,,14.0,104.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Nicholas Cook ,England,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Stephen Cook ,South Africa,,,,,,,,,,,,,,,,,,,,,,52.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Geoffrey Cope ,England,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Garry Cosier ,Australia,,,,,,25.0,,28.0,112.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Norman Cowans ,England,,,,,,,,,,,,,,5.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Christopher Cowdrey ,England,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Sir Colin Cowdrey ,England,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Gary Crocker ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,59.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Colin Croft ,West Indies,,,,,,,,0.0,5.0,8.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Hansie Cronje ,South Africa,,,,,,,,,,,,,,,,,,,,,,,330.0,725.0,1858.0,2015.0,2948.0,3719.0,4410.0,4997.0,5565.0,,,,,,,,,,,,,,,,,,,
120,Jeffrey Crowe ,New Zealand,,,,,,,,,,,,,,345.0,506.0,685.0,1072.0,1261.0,1398.0,1464.0,1518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Martin Crowe ,New Zealand,,,,,,,,,,,,,10.0,328.0,744.0,982.0,1604.0,1928.0,2259.0,2455.0,3265.0,3428.0,4217.0,4412.0,4510.0,4704.0,,,,,,,,,,,,,,,,,,,,,,,,
122,Daryll Cullinan ,South Africa,,,,,,,,,,,,,,,,,,,,,,,,238.0,713.0,860.0,1894.0,2704.0,3112.0,3629.0,3860.0,,,,,,,,,,,,,,,,,,,
123,Anderson Cummins ,West Indies,,,,,,,,,,,,,,,,,,,,,,38.0,70.0,185.0,385.0,459.0,,,,,,,,,,,,486.0,,,,,,,,,,,,
124,Basil D'Oliveira ,England,,17.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Anil Dalpat ,Pakistan,,,,,,,,,,,,,,,6.0,84.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Wayne Daniel ,West Indies,,,,,,,,,14.0,,,,,30.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Rick Darling ,Australia,,,,,,,,,29.0,128.0,,290.0,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Ian Davis ,Australia,,,,,11.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Simon Davis ,Australia,,,,,,,,,,,,,,,,,8.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Winston Davis ,West Indies,,,,,,,,,,,,,,7.0,7.0,18.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Guy De Alwis ,Sri Lanka,,,,,,,,,,,,,,198.0,216.0,,267.0,283.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Phillip De Freitas ,England,,,,,,,,,,,,,,,,,,224.0,289.0,328.0,431.0,473.0,494.0,519.0,537.0,566.0,690.0,690.0,,,,,,,,,,,,,,,,,,,,,,
133,Richard De Groen ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
134,Ashantha De Mel ,Sri Lanka,,,,,,,,,,,,,86.0,216.0,248.0,348.0,447.0,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Ashley de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,8.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Somachandra De Silva ,Sri Lanka,,,,,,47.0,,,,54.0,,,85.0,257.0,318.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Asoka De Silva ,Sri Lanka,,,,,,,,,,,,,,,,,0.0,0.0,38.0,80.0,101.0,138.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Ajit de Silva ,Sri Lanka,,,,,,0.0,,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Aravinda de Silva ,Sri Lanka,,,,,,,,,,,,,,,105.0,489.0,636.0,791.0,1311.0,1752.0,2222.0,2275.0,2813.0,3512.0,4224.0,4705.0,5893.0,7105.0,7799.0,8193.0,8334.0,8430.0,8894.0,9284.0,,,,,,,,,,,,,,,,
140,Fanie De Villiers ,South Africa,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,88.0,108.0,163.0,170.0,,,,,,,,,,,,,,,,,,,,,,
141,Michael Denness ,England,,,,66.0,139.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Kapil Dev ,India,,,,,,,,,18.0,71.0,183.0,285.0,515.0,1042.0,1143.0,1406.0,1923.0,2371.0,2702.0,2940.0,3132.0,3267.0,3585.0,3726.0,3783.0,,,,,,,,,,,,,,,,,,,,,,,,,
143,Roy Dias ,Sri Lanka,,,,,,,,,,75.0,,,554.0,711.0,826.0,1413.0,1446.0,1573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Graham Dilley ,England,,,,,,,,,,1.0,1.0,4.0,5.0,95.0,96.0,,104.0,114.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Anthony Dodemaide ,Australia,,,,,,,,,,,,,,,,,,,84.0,,,,84.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Allan Donald ,South Africa,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,20.0,29.0,34.0,34.0,55.0,74.0,84.0,85.0,89.0,95.0,95.0,,,,,,,,,,,,,,,,
147,Dilip Doshi ,India,,,,,,,,,,,2.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Simon Doull ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,2.0,,46.0,63.0,82.0,136.0,166.0,172.0,172.0,,,,,,,,,,,,,,,,,,,
