Name_of_player,Country
Franklyn Rose ,West Indies
Roland Holder ,West Indies
Abey Kuruvilla ,India
Nuwan Zoysa ,Sri Lanka
Sajeewa de Silva ,Sri Lanka
Merwyn Dillon ,West Indies
Russel Arnold ,Sri Lanka
Floyd Reifer ,West Indies
Dean Headley ,England
Nilesh Kulkarni ,India
Mahela Jayawardene ,Sri Lanka
Adam Hollioake ,England
Ben Hollioake ,England
Debashish Mohanty ,India
Adam Huckle ,Zimbabwe
Shayne O'Connor ,New Zealand
Gavin Rennie ,Zimbabwe
Azhar Mahmood ,Pakistan
Mark Boucher ,South Africa
Craig McMillan ,New Zealand
Lanka de Silva ,Sri Lanka
Arshad Khan ,Pakistan
Rawl Lewis ,West Indies
Philo Wallace ,West Indies
Shoaib Akhtar ,Pakistan
Murray Goodwin ,Zimbabwe
Stuart MacGill ,Australia
Nixon McLean ,West Indies
Mohammad Yousuf ,Pakistan
Fazl-E-Akbar ,Pakistan
Dinanath Ramnarine ,West Indies
Gavin Robertson ,Australia
Harvinder Singh ,India
Trevor Madondo ,Zimbabwe
Dirk Viljoen ,Zimbabwe
Paul Wilson ,Australia
Makhaya Ntini ,South Africa
Harbhajan Singh ,India
Darren Lehmann ,Australia
Adam Dale ,Australia
Gerhardus Liebenberg ,South Africa
Paul Wiseman ,New Zealand
M Bandarathilake ,Sri Lanka
C Bandara ,Sri Lanka
Ashley Giles ,England
Steven Elworthy ,South Africa
Andrew Flintoff ,England
Suresh Perera ,Sri Lanka
Shahid Afridi ,Pakistan
David Terbrugge ,South Africa
Ridley Jacobs ,West Indies
Alex Tudor ,England
Neil Johnson ,Zimbabwe
Robin Singh ,India
Ajit Agarkar ,India
Darren Ganga ,West Indies
Matthew Bell ,New Zealand
Reon King ,West Indies
Sadagopan Ramesh ,India
Wajahatullah Wasti ,Pakistan
Ashish Nehra ,India
Ruchira Perera ,Sri Lanka
Kalutarage Upashantha ,Sri Lanka
Pedro Collins ,West Indies
Imran Nazir ,Pakistan
Avishka Gunawardene ,Sri Lanka
Upul Chandana ,Sri Lanka
Nehemiah Perry ,West Indies
Corey Collymore ,West Indies
Chris Read ,England
Darren Maddy ,England
Rangana Herath ,Sri Lanka
Devang Gandhi ,India
Mannava Prasad ,India
Vijay Bhardwaj ,India
Trevor Gripper ,Zimbabwe
Boeta Dippenaar ,South Africa
Abdul Razzaq ,Pakistan
Adam Gilchrist ,Australia
Gary Brent ,Zimbabwe
Indika Gallage ,Sri Lanka
Indika De Saram ,Sri Lanka
Tillakaratne Dilshan ,Sri Lanka
Christopher Adams ,England
Gavin Hamilton ,Scotland
Michael Vaughan ,England
Ray Price ,Zimbabwe
Nantie Hayward ,South Africa
Ricardo Powell ,West Indies
Hrishikesh Kanitkar ,India
Brett Lee ,Australia
Matthew Sinclair ,New Zealand
Pieter Strydom ,South Africa
Wasim Jaffer ,India
Murali Kartik ,India
Nico Boje ,South Africa
Younis Khan ,Pakistan
Nikhil Chopra ,India
Mohammad Kaif ,India
Atiq-Uz-Zaman ,Pakistan
Irfan Fazil ,Pakistan
Wavell Hinds ,West Indies
Chris Gayle ,West Indies
Brian Murphy ,Zimbabwe
Daryl Tuffey ,New Zealand
Ramnaresh Sarwan ,West Indies
Mluleki Nkala ,Zimbabwe
Dilhara Fernando ,Sri Lanka
Matthew Hoggard ,England
Prasanna Jayawardene ,Sri Lanka
Kumar Sangakkara ,Sri Lanka
Neil McKenzie ,South Africa
Marcus Trescothick ,England
Mahendra Nagamootoo ,West Indies
David Mutendera ,Zimbabwe
Mark Richardson ,New Zealand
Naimuir Rahman ,Bangladesh
Shahriar Hossain ,Bangladesh
Mehrab Hossain ,Bangladesh
Habibul Bashar ,Bangladesh
Aminul Islam ,Bangladesh
Akram Khan ,Bangladesh
Al Sahariar Rokon ,Bangladesh
Khaled Mashud ,Bangladesh
Mohammad Rafique ,Bangladesh
Hasibul Hussain ,Bangladesh
Shiv Das ,India
Saba Karim ,India
Zaheer Khan ,India
Vijay Dahiya ,India
Chris Martin ,New Zealand
Brooke Walker ,New Zealand
Marlon Black ,West Indies
Sarandeep Singh ,India
Danish Kaneria ,Pakistan
Hamish Marshall ,New Zealand
Marlon Samuels ,West Indies
Colin Stuart ,West Indies
Douglas Marillier ,Zimbabwe
Justin Kemp ,South Africa
Rahul Sanghvi ,India
Imran Farhat ,Pakistan
Faisal Iqbal ,Pakistan
Misbah-ul-Haq ,Pakistan
James Franklin ,New Zealand
Mohammad Sami ,Pakistan
Aamer Hameed ,Pakistan
Aamer Hanif ,Pakistan
Josephat Ababu ,Kenya
Shafiek Abrahams ,South Africa
Ahmed Kamal ,Bangladesh
Akhtar Sarfraz ,Pakistan
Alam Talukdar ,Bangladesh
Rajab Ali ,Kenya
Mark Alleyne ,England
Michael Allingham ,Scotland
Aminul Islam Jnr ,Bangladesh
Joseph Angara ,Kenya
Anisur Rehman ,Bangladesh
Hamish Anthony ,West Indies
Flavian Aponso ,Netherlands
Arshad Laeeq ,United Arab Emirates
Arshad Pervez ,Pakistan
Asif Mahmood ,Pakistan
Asim Butt ,Scotland
Athar Ali Khan ,Bangladesh
Ian Austin ,England
Azhar Hossain ,Bangladesh
Azhar Saeed ,United Arab Emirates
Hemang Badani ,India
Sairaj Bahutule ,India
Mark Bailey ,New Zealand
Paul-Jan Bakker ,Netherlands
Showkat Baksh ,Canada
Atul Bedade ,India
Dale Benkenstein ,South Africa
Amit Bhandari ,India
Bhupinder Singh ,India
Glenn Bishop ,Australia
John Blain ,Scotland
Bruce Blair ,New Zealand
Andy Blignaut ,Zimbabwe
Gopal Bose ,India
Hemantha Boteju ,Sri Lanka
Nathan Bracken ,Australia
James Brinkley ,Scotland
Alistair Brown ,England
Douglas Brown ,Scotland
Robin Brown ,Zimbabwe
Barrington Browne ,West Indies
Henderson Bryan ,West Indies
Rudi Bryson ,South Africa
Carl Bulfin ,New Zealand
David Callaghan ,South Africa
Robert Callender ,Canada
Peter Cantrell ,Netherlands
Vakkadai Chandrasekhar ,India
Christopher Chappell ,Canada
Utpal Chatterjee ,India
Dipak Chudasama ,Kenya
Nolan Clarke ,Netherlands
Peter Coman ,New Zealand
Derek Crookes ,South Africa
Kevin Curran ,Zimbabwe
Noel David ,India
Alec Davies ,Scotland
Sean Davies ,Zimbabwe
Alan Dawson ,South Africa
Timotheus de Leede ,Netherlands
Stanley de Silva ,Sri Lanka
Granville De Silva ,Sri Lanka
Franklym Dennis ,Canada
Pankaj Dharmani ,India
Michael Di Venuto ,Australia
Sameer Dighe ,India
Mark Douglas ,New Zealand
Vasbert Drakes ,West Indies
Christopher Drum ,New Zealand
Kevin Duers ,Zimbabwe
Shaukat Dukanwala ,United Arab Emirates
Nicholas Dyer ,Scotland
Enamul Haque ,Bangladesh
Ebrahim Essop-Adam ,Zimbabwe
Faruk Ahmed ,Bangladesh
Ranjit Fernando ,Sri Lanka
Thewarathantrige Fernando ,Sri Lanka
Nisal Fernando ,Sri Lanka
Matthew Fleming ,England
Duncan Fletcher ,Zimbabwe
Paul Franks ,England
Frasat Ali ,East Africa
Travis Friend ,Zimbabwe
Richard Gabriel ,West Indies
Janak Gamage ,Sri Lanka
Gazi Ashraf ,Bangladesh
Rajinder Ghai ,India
Golam Faruq ,Bangladesh
Gholam Nousher ,Bangladesh
Ghulam Ali ,Pakistan
Ranjan Goonatillake ,Sri Lanka
Eric Gouka ,Netherlands
Ian Gould ,England
Shaun Graf ,Australia
Paul Grayson ,England
Aruna Gunawardene ,Sri Lanka
Sandeep Gupta ,Kenya
Haafiz Shahid ,Pakistan
Brad Haddin ,Australia
Barry Hadlee ,New Zealand
Hafizur Rahman ,Bangladesh
Andrew Hall ,South Africa
Harilal Shah ,East Africa
Ronald Hart ,New Zealand
Harun-Ur-Rashid ,Bangladesh
